equation,term,estimate,se
header_density_diff,const,-0.015639472397646115,0.014173539058622849
header_density_diff,log_token_ratio,0.16021592035789478,0.005652370921764944
header_density_diff,log_user_tokens,0.0014937830083122403,0.0036924613085728866
header_density_diff,turns,-0.00023443888404552947,0.0029168762673595903
header_density_diff,cw,-0.022356979605727183,0.014574473319759798
header_density_diff,if,0.014466815509128409,0.012243224731768991
header_density_diff,math,0.014138754850307604,0.015886622295162103
header_density_diff,code,-0.013223121249499621,0.010270991617613528
header_density_diff,complexity,-0.00041536018757005604,0.010139484394598093
header_density_diff,creativity,-0.009499984799375465,0.009935607689167432
header_density_diff,domain_knowledge,0.008467056726151338,0.012226124654369702
header_density_diff,problem_solving,0.013979037152553182,0.011428487844326946
header_density_diff,real_world,0.008102913352462824,0.010905273619530075
header_density_diff,specificity,-0.01137891223443327,0.01169838809425428
header_density_diff,technical_accuracy,0.01326823539867444,0.011633678620325152
header_density_diff,model:amazon.nova-pro-v1:0,0.400207368097745,0.03263418942656471
header_density_diff,model:chatgpt-4o-latest-20250326,0.559155852581162,0.0302227206253151
header_density_diff,model:claude-3-5-haiku-20241022,-0.23117006793342798,0.032478177773215246
header_density_diff,model:claude-3-5-sonnet-20241022,-0.34667161985011796,0.02885405241682254
header_density_diff,model:claude-3-7-sonnet-20250219,-0.1679684620561083,0.030863485623229422
header_density_diff,model:claude-3-7-sonnet-20250219-thinking-32k,-0.17734740663396018,0.03149513868204887
header_density_diff,model:claude-opus-4-20250514,-0.33439482545981253,0.02720759596782994
header_density_diff,model:claude-opus-4-20250514-thinking-16k,-0.3505166905626812,0.029779983533842574
header_density_diff,model:claude-sonnet-4-20250514,-0.3639500814534698,0.027887234670130115
header_density_diff,model:claude-sonnet-4-20250514-thinking-32k,-0.32966573205326016,0.029146361070985692
header_density_diff,model:command-a-03-2025,0.17277874868366558,0.029812073202338196
header_density_diff,model:deepseek-r1-0528,-0.12786459911544465,0.03040137427714949
header_density_diff,model:deepseek-v3-0324,0.5754428827970833,0.031465380707308616
header_density_diff,model:gemini-2.0-flash-001,-0.6034801811110779,0.028553571407918376
header_density_diff,model:gemini-2.0-flash-thinking-exp-01-21,-0.6160316295298163,0.06131095390030847
header_density_diff,model:gemini-2.5-flash,-0.49123975926482266,0.026663140621245616
header_density_diff,model:gemini-2.5-flash-lite-preview-06-17-thinking,-0.5776924098448522,0.028849589660078022
header_density_diff,model:gemini-2.5-flash-preview-04-17,-0.6042497474935635,0.029004317965647466
header_density_diff,model:gemini-2.5-pro,-0.036670997072944536,0.027358532970662187
header_density_diff,model:gemini-2.5-pro-preview-03-25,-0.5451110195481685,0.03614534293964142
header_density_diff,model:gemini-2.5-pro-preview-05-06,-0.6333732595290805,0.03105927363973068
header_density_diff,model:gemma-3-27b-it,-0.6383274233894531,0.027078322202378154
header_density_diff,model:gemma-3n-e4b-it,-0.6165311914819859,0.03635277782996508
header_density_diff,model:gpt-4.1-2025-04-14,0.5371904106294167,0.0319974846067882
header_density_diff,model:gpt-4.1-mini-2025-04-14,0.29601895792547156,0.03162050712337057
header_density_diff,model:gpt-4o-2024-11-20,0.20330095560487307,0.053727343727696886
header_density_diff,model:gpt-4o-mini-2024-07-18,0.08093611743276642,0.05860141752301743
header_density_diff,model:grok-3-mini-beta,-0.1864407634675935,0.028214891234287144
header_density_diff,model:grok-3-mini-high,-0.2068788543010836,0.03161931758734803
header_density_diff,model:grok-3-preview-02-24,0.050109416710747104,0.028650755158086936
header_density_diff,model:grok-4-0709,-0.18790034192831792,0.03892312172665661
header_density_diff,model:hunyuan-turbos-20250416,0.5122164749876102,0.05170877038084102
header_density_diff,model:kimi-k2-0711-preview,0.09943475559788044,0.042761578687183305
header_density_diff,model:llama-3.3-70b-instruct,-0.4230223600521428,0.030041558024033358
header_density_diff,model:llama-4-maverick-03-26-experimental,-0.627963205038989,0.029451034578891734
header_density_diff,model:llama-4-maverick-17b-128e-instruct,-0.20514161354163032,0.032088632890915327
header_density_diff,model:llama-4-scout-17b-16e-instruct,-0.2971906794040772,0.03709915246812856
header_density_diff,model:magistral-medium-2506,-0.33734307652480416,0.0410411842007117
header_density_diff,model:minimax-m1,0.3057908684152504,0.03243064846600259
header_density_diff,model:mistral-medium-2505,0.5646596580839724,0.02947151689753332
header_density_diff,model:mistral-small-2506,0.5633050002011665,0.04158151115034319
header_density_diff,model:mistral-small-3.1-24b-instruct-2503,0.07366106069248954,0.03829145912518838
header_density_diff,model:o3-2025-04-16,-0.2890759588123859,0.027433625504672113
header_density_diff,model:o3-mini,-0.24592494978105867,0.028278341635348894
header_density_diff,model:o4-mini-2025-04-16,-0.1685858072616003,0.02891720409920795
header_density_diff,model:qwen-max-2025-01-25,0.44423569254670564,0.03326694390953337
header_density_diff,model:qwen3-235b-a22b,0.37802432445078554,0.03137628307993703
header_density_diff,model:qwen3-235b-a22b-instruct-2507,0.3273379303461215,0.06358487425713483
header_density_diff,model:qwen3-235b-a22b-no-thinking,0.6678582406422655,0.029293632326968775
header_density_diff,model:qwen3-30b-a3b,0.3899648282274287,0.03002010806377603
header_density_diff,model:qwq-32b,0.39462944289001284,0.032525024346159906
list_density_diff,const,-0.014768825312577982,0.016279868466629852
list_density_diff,log_token_ratio,0.12748205124677767,0.0074261106187310105
list_density_diff,log_user_tokens,0.0032383201548161875,0.00406085174038405
list_density_diff,turns,-0.0008676545036503298,0.003313006655797684
list_density_diff,cw,0.009324488827918847,0.015929338662337093
list_density_diff,if,-0.011159784000060182,0.012954064871441878
list_density_diff,math,-0.030060996598526946,0.016885788877159625
list_density_diff,code,-0.010447589856708536,0.011114763156545174
list_density_diff,complexity,0.003886173055209026,0.011427048910651579
list_density_diff,creativity,-0.01615456276216692,0.010757785678751873
list_density_diff,domain_knowledge,0.011127872546348115,0.014572186884124294
list_density_diff,problem_solving,0.0018033812522246801,0.0133640208192052
list_density_diff,real_world,-0.010451303454258376,0.012198209778216122
list_density_diff,specificity,0.026797982567784946,0.013998541094281475
list_density_diff,technical_accuracy,0.0009179571827395059,0.013616655464322532
list_density_diff,model:amazon.nova-pro-v1:0,0.028585410237677005,0.0373503772630224
list_density_diff,model:chatgpt-4o-latest-20250326,-0.23855082725640714,0.035023595504225236
list_density_diff,model:claude-3-5-haiku-20241022,0.704743703723036,0.04430040132743256
list_density_diff,model:claude-3-5-sonnet-20241022,0.5527205117486482,0.044005232393648876
list_density_diff,model:claude-3-7-sonnet-20250219,-0.5376703262552185,0.03813072316600662
list_density_diff,model:claude-3-7-sonnet-20250219-thinking-32k,-0.5153645594856439,0.03848220162688708
list_density_diff,model:claude-opus-4-20250514,-0.5136949014554469,0.03594650108451772
list_density_diff,model:claude-opus-4-20250514-thinking-16k,-0.4908006363893526,0.03939822766478236
list_density_diff,model:claude-sonnet-4-20250514,-0.734991142013961,0.036989053969227484
list_density_diff,model:claude-sonnet-4-20250514-thinking-32k,-0.6199264655640171,0.03964773480513723
list_density_diff,model:command-a-03-2025,-0.2483358500703644,0.03445553835475906
list_density_diff,model:deepseek-r1-0528,-0.15551506290136055,0.0358910136231493
list_density_diff,model:deepseek-v3-0324,-0.06821542309081188,0.03560889847892364
list_density_diff,model:gemini-2.0-flash-001,-0.3548554891165568,0.035776454533656986
list_density_diff,model:gemini-2.0-flash-thinking-exp-01-21,-0.49419200495727333,0.07926472488948032
list_density_diff,model:gemini-2.5-flash,-0.3948200256507459,0.033495053493293334
list_density_diff,model:gemini-2.5-flash-lite-preview-06-17-thinking,-0.39815427502861317,0.0357531669362868
list_density_diff,model:gemini-2.5-flash-preview-04-17,-0.4961669328841345,0.036820260506948047
list_density_diff,model:gemini-2.5-pro,-0.6214551553997946,0.033960570383178346
list_density_diff,model:gemini-2.5-pro-preview-03-25,-0.46683219576443874,0.047201034275570715
list_density_diff,model:gemini-2.5-pro-preview-05-06,-0.27506337729912445,0.03830937861384905
list_density_diff,model:gemma-3-27b-it,-0.3730635306466279,0.03465757508142944
list_density_diff,model:gemma-3n-e4b-it,-0.25521776687546344,0.041931034652891955
list_density_diff,model:gpt-4.1-2025-04-14,-0.2922364584718851,0.03582074421883143
list_density_diff,model:gpt-4.1-mini-2025-04-14,-0.20800323409797666,0.03674965835764067
list_density_diff,model:gpt-4o-2024-11-20,-0.3692555928885683,0.06623328992280926
list_density_diff,model:gpt-4o-mini-2024-07-18,-0.5004333492712002,0.07374281080515444
list_density_diff,model:grok-3-mini-beta,-0.5525241969145854,0.034872195311324114
list_density_diff,model:grok-3-mini-high,-0.6218958451407823,0.041349846465047045
